Prev.Length,Match.Score,Tile.Size,Prev.Type,Browse.Time
100,80,0.3,TT,16.68338943
120,80,0.1,TT,18.75422039
100,100,0.1,TT,18.99521112
120,100,0.3,TT,19.692778
100,80,0.3,TT,14.91702056
120,80,0.1,TT,19.13451752
100,100,0.1,TT,18.40008562
120,100,0.3,TT,21.24569545
100,80,0.3,TT,15.92605723
120,80,0.1,TT,19.91265775
100,100,0.1,TT,19.06481424
120,100,0.3,TT,20.33879604
100,80,0.3,TT,15.59055357
120,80,0.1,TT,19.0039126
100,100,0.1,TT,18.37593427
120,100,0.3,TT,18.49748724
100,80,0.3,TT,16.32924823
120,80,0.1,TT,19.91531148
100,100,0.1,TT,17.66371393
120,100,0.3,TT,19.00822296
100,80,0.3,TT,17.31553508
120,80,0.1,TT,18.04624466
100,100,0.1,TT,17.5649476
120,100,0.3,TT,19.2179168
100,80,0.3,TT,16.24491667
120,80,0.1,TT,19.60228467
100,100,0.1,TT,21.4574503
120,100,0.3,TT,19.81880346
100,80,0.3,TT,17.69247856
120,80,0.1,TT,19.74303943
100,100,0.1,TT,18.1671662
120,100,0.3,TT,19.28574979
100,80,0.3,TT,16.01086527
120,80,0.1,TT,18.64406403
100,100,0.1,TT,18.8056849
120,100,0.3,TT,20.19725166
100,80,0.3,TT,14.80621074
120,80,0.1,TT,18.54902892
100,100,0.1,TT,21.06100688
120,100,0.3,TT,17.22275254
100,80,0.3,TT,18.42972541
120,80,0.1,TT,19.91889282
100,100,0.1,TT,19.40290115
120,100,0.3,TT,20.10431958
100,80,0.3,TT,15.14445231
120,80,0.1,TT,18.34344056
100,100,0.1,TT,19.73351681
120,100,0.3,TT,19.40351879
100,80,0.3,TT,19.11947615
120,80,0.1,TT,18.48714598
100,100,0.1,TT,18.57638441
120,100,0.3,TT,19.32611919
100,80,0.3,TT,16.51320332
120,80,0.1,TT,17.50109732
100,100,0.1,TT,19.3454316
120,100,0.3,TT,20.15032916
100,80,0.3,TT,15.99593811
120,80,0.1,TT,20.31438347
100,100,0.1,TT,19.25469477
120,100,0.3,TT,19.08175446
100,80,0.3,TT,16.7183099
