Prev.Length,Match.Score,Tile.Size,Prev.Type,Browse.Time
100,80,0.1,TT,16.54077946
120,80,0.3,TT,18.70094252
100,100,0.3,TT,19.44753063
120,100,0.1,TT,20.89217212
100,80,0.1,TT,17.46933636
120,80,0.3,TT,17.35607425
100,100,0.3,TT,18.09618408
120,100,0.1,TT,18.69688271
100,80,0.1,TT,17.94946602
120,80,0.3,TT,20.26477921
100,100,0.3,TT,20.38824299
120,100,0.1,TT,19.3773118
100,80,0.1,TT,17.60927413
120,80,0.3,TT,18.4881578
100,100,0.3,TT,18.85707087
120,100,0.1,TT,21.14678587
100,80,0.1,TT,18.01812786
120,80,0.3,TT,19.51369055
100,100,0.3,TT,20.2585348
120,100,0.1,TT,20.70594273
100,80,0.1,TT,16.59523078
120,80,0.3,TT,19.2194109
100,100,0.3,TT,20.28566722
120,100,0.1,TT,19.14027743
100,80,0.1,TT,16.54717244
120,80,0.3,TT,20.3073393
100,100,0.3,TT,19.89956209
120,100,0.1,TT,18.17631019
100,80,0.1,TT,17.54288647
120,80,0.3,TT,18.95477157
100,100,0.3,TT,18.58524432
120,100,0.1,TT,20.92158724
100,80,0.1,TT,15.80113594
120,80,0.3,TT,19.01681217
100,100,0.3,TT,19.43011772
120,100,0.1,TT,20.54159931
100,80,0.1,TT,16.38312308
120,80,0.3,TT,20.70727942
100,100,0.3,TT,18.85992774
120,100,0.1,TT,20.66986549
100,80,0.1,TT,17.0304168
120,80,0.3,TT,19.77494056
100,100,0.3,TT,20.41135264
120,100,0.1,TT,18.9102409
100,80,0.1,TT,15.54861891
120,80,0.3,TT,18.54297581
100,100,0.3,TT,20.6666736
120,100,0.1,TT,20.47458482
100,80,0.1,TT,15.66096843
120,80,0.3,TT,20.56338754
100,100,0.3,TT,19.09180047
120,100,0.1,TT,20.67996498
100,80,0.1,TT,16.25505725
120,80,0.3,TT,17.07456949
100,100,0.3,TT,19.56425138
120,100,0.1,TT,20.07602915
100,80,0.1,TT,17.09008853
120,80,0.3,TT,19.08339471
100,100,0.3,TT,18.90896571
120,100,0.1,TT,20.18091456
100,80,0.1,TT,17.04507252
120,80,0.3,TT,18.62979629
100,100,0.3,TT,19.69246733
