Prev.Length,Match.Score,Tile.Size,Prev.Type,Browse.Time
105,85,0.2,TT,16.55190127
100,79,0.2,TT,18.25265349
95,74,0.2,TT,13.70162635
90,69,0.2,TT,12.85205878
85,63,0.2,TT,11.50401137
80,58,0.2,TT,14.62818419
75,52,0.2,TT,14.6179865
105,85,0.2,TT,18.52888707
100,79,0.2,TT,16.64757376
95,74,0.2,TT,14.61581782
90,69,0.2,TT,12.94882783
85,63,0.2,TT,13.24290739
80,58,0.2,TT,14.10175036
75,52,0.2,TT,14.76356566
105,85,0.2,TT,19.07050911
100,79,0.2,TT,16.60242166
95,74,0.2,TT,15.00644287
90,69,0.2,TT,12.41674755
85,63,0.2,TT,13.00406352
80,58,0.2,TT,13.00288716
75,52,0.2,TT,14.05662109
105,85,0.2,TT,18.8001553
100,79,0.2,TT,15.04643151
95,74,0.2,TT,12.15836527
90,69,0.2,TT,11.59734658
85,63,0.2,TT,12.29429313
80,58,0.2,TT,12.52985725
75,52,0.2,TT,17.08227804
105,85,0.2,TT,17.11141732
100,79,0.2,TT,16.19137552
95,74,0.2,TT,14.52199431
90,69,0.2,TT,10.57000567
85,63,0.2,TT,11.0408274
80,58,0.2,TT,11.54016595
75,52,0.2,TT,14.84668926
105,85,0.2,TT,18.41852136
100,79,0.2,TT,16.2310091
95,74,0.2,TT,14.73675894
90,69,0.2,TT,12.77165839
85,63,0.2,TT,13.66506584
80,58,0.2,TT,15.20817818
75,52,0.2,TT,15.23724855
105,85,0.2,TT,18.23843539
100,79,0.2,TT,16.57228486
95,74,0.2,TT,14.90763321
90,69,0.2,TT,12.98679314
85,63,0.2,TT,11.95699282
80,58,0.2,TT,13.56668697
75,52,0.2,TT,15.71182678
105,85,0.2,TT,17.45786404
100,79,0.2,TT,16.0060294
95,74,0.2,TT,14.77691515
90,69,0.2,TT,11.74183731
85,63,0.2,TT,12.38950186
80,58,0.2,TT,12.31483911
75,52,0.2,TT,15.63031927
105,85,0.2,TT,18.68914568
100,79,0.2,TT,15.02380861
95,74,0.2,TT,12.66086966
90,69,0.2,TT,11.58785002
85,63,0.2,TT,14.48468523
80,58,0.2,TT,12.02843695
75,52,0.2,TT,14.02223054
105,85,0.2,TT,18.4872233
100,79,0.2,TT,15.92774592
95,74,0.2,TT,13.9661522
90,69,0.2,TT,13.26113898
85,63,0.2,TT,13.22952712
80,58,0.2,TT,12.07169422
75,52,0.2,TT,16.22277163
105,85,0.2,TT,17.78422588
100,79,0.2,TT,14.8268108
95,74,0.2,TT,14.22957053
90,69,0.2,TT,10.08912065
85,63,0.2,TT,12.60862165
80,58,0.2,TT,12.93072705
75,52,0.2,TT,14.85067129
105,85,0.2,TT,18.11074436
100,79,0.2,TT,16.02608283
95,74,0.2,TT,13.07157239
90,69,0.2,TT,12.14903055
85,63,0.2,TT,11.68317276
80,58,0.2,TT,12.76364916
75,52,0.2,TT,15.45869581
105,85,0.2,TT,18.10271891
100,79,0.2,TT,16.9357227
95,74,0.2,TT,14.50849518
90,69,0.2,TT,11.965112
85,63,0.2,TT,11.67194422
80,58,0.2,TT,13.0092531
75,52,0.2,TT,15.55675461
105,85,0.2,TT,19.73612505
100,79,0.2,TT,17.67017665
95,74,0.2,TT,13.98519487
90,69,0.2,TT,12.95747231
85,63,0.2,TT,12.79610776
80,58,0.2,TT,15.31713493
75,52,0.2,TT,15.16075615
105,85,0.2,TT,19.50682619
100,79,0.2,TT,16.48809113
95,74,0.2,TT,13.64125728
90,69,0.2,TT,10.93551344
85,63,0.2,TT,12.37287602
80,58,0.2,TT,13.55260129
75,52,0.2,TT,14.75142186
105,85,0.2,TT,17.45856465
100,79,0.2,TT,16.11480541
95,74,0.2,TT,13.79938325
90,69,0.2,TT,12.50904401
85,63,0.2,TT,11.55386993
80,58,0.2,TT,13.78908655
75,52,0.2,TT,16.11132495
105,85,0.2,TT,17.10524189
100,79,0.2,TT,15.29057116
95,74,0.2,TT,14.41636878
90,69,0.2,TT,11.68330772
85,63,0.2,TT,10.98950482
80,58,0.2,TT,13.1015932
75,52,0.2,TT,17.28065462
105,85,0.2,TT,16.69414499
100,79,0.2,TT,16.24617011
95,74,0.2,TT,14.34312414
90,69,0.2,TT,12.19161871
85,63,0.2,TT,12.18958546
80,58,0.2,TT,14.46418246
75,52,0.2,TT,14.94901028
105,85,0.2,TT,16.67402039
100,79,0.2,TT,14.85932483
95,74,0.2,TT,14.28800867
90,69,0.2,TT,13.57032574
85,63,0.2,TT,14.80887411
80,58,0.2,TT,11.85817828
75,52,0.2,TT,16.96431056
105,85,0.2,TT,18.35480996
100,79,0.2,TT,15.73683097
95,74,0.2,TT,13.74366779
90,69,0.2,TT,11.89251009
85,63,0.2,TT,12.90578015
80,58,0.2,TT,12.74560326
75,52,0.2,TT,13.30865329
105,85,0.2,TT,19.26110018
100,79,0.2,TT,16.44334729
95,74,0.2,TT,15.66694504
90,69,0.2,TT,11.7571862
85,63,0.2,TT,12.36066387
80,58,0.2,TT,14.24065253
75,52,0.2,TT,15.42119371
105,85,0.2,TT,16.03462527
100,79,0.2,TT,16.42005327
95,74,0.2,TT,11.6389203
90,69,0.2,TT,12.50592564
85,63,0.2,TT,13.2604521
80,58,0.2,TT,14.8959571
75,52,0.2,TT,13.644893
105,85,0.2,TT,17.53629735
100,79,0.2,TT,17.10500036
95,74,0.2,TT,13.52570471
90,69,0.2,TT,10.37530318
85,63,0.2,TT,11.9547435
80,58,0.2,TT,11.64997766
75,52,0.2,TT,15.92342245
105,85,0.2,TT,18.91178395
100,79,0.2,TT,16.43884816
95,74,0.2,TT,15.59895674
90,69,0.2,TT,13.25851538
85,63,0.2,TT,12.14719615
80,58,0.2,TT,14.38927747
75,52,0.2,TT,16.61232795
105,85,0.2,TT,16.95232102
100,79,0.2,TT,15.25494564
95,74,0.2,TT,15.00869595
90,69,0.2,TT,11.35751084
85,63,0.2,TT,13.9750077
80,58,0.2,TT,12.52097768
75,52,0.2,TT,15.62723118
105,85,0.2,TT,19.71663725
100,79,0.2,TT,16.3843936
95,74,0.2,TT,12.79648766
90,69,0.2,TT,12.65180213
85,63,0.2,TT,12.87529106
80,58,0.2,TT,13.86311955
75,52,0.2,TT,14.13918729
105,85,0.2,TT,17.19186347
100,79,0.2,TT,15.66703297
95,74,0.2,TT,15.33608964
90,69,0.2,TT,12.23031404
85,63,0.2,TT,11.73767995
80,58,0.2,TT,14.15581656
75,52,0.2,TT,16.18072387
105,85,0.2,TT,18.86004059
100,79,0.2,TT,18.27988376
95,74,0.2,TT,15.17500456
90,69,0.2,TT,11.83182921
85,63,0.2,TT,13.20904926
80,58,0.2,TT,11.38542093
75,52,0.2,TT,16.09062207
105,85,0.2,TT,17.26610055
100,79,0.2,TT,17.1291062
95,74,0.2,TT,15.2563746
90,69,0.2,TT,11.61932098
85,63,0.2,TT,11.56740274
80,58,0.2,TT,10.8682674
75,52,0.2,TT,15.04354393
105,85,0.2,TT,18.31930719
100,79,0.2,TT,15.59829971
95,74,0.2,TT,13.09204266
90,69,0.2,TT,11.3102772
85,63,0.2,TT,12.73932143
80,58,0.2,TT,12.50618977
75,52,0.2,TT,17.23133581
105,85,0.2,TT,16.99537969
100,79,0.2,TT,15.87347667
95,74,0.2,TT,13.57255466
90,69,0.2,TT,13.45941555
85,63,0.2,TT,14.21670763
80,58,0.2,TT,12.68759094
75,52,0.2,TT,15.24964738
105,85,0.2,TT,19.38510669
100,79,0.2,TT,15.81113714
95,74,0.2,TT,13.89979804
90,69,0.2,TT,10.53970273
85,63,0.2,TT,12.17159459
80,58,0.2,TT,15.12953893
75,52,0.2,TT,14.47040047
105,85,0.2,TT,18.99061618
100,79,0.2,TT,16.63111257
95,74,0.2,TT,14.64335063
90,69,0.2,TT,13.12511289
85,63,0.2,TT,11.88482618
