"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
70,50,0.2,"TT",16.6573339965111
110,50,0.2,"TT",17.0752793194988
70,90,0.2,"TT",13.1060708296364
110,90,0.2,"TT",17.7707695846526
120,70,0.2,"TT",18.8380793282084
60,70,0.2,"TT",11.2386757853223
90,100,0.2,"TT",18.445487129349
90,40,0.2,"TT",16.2551311533802
90,70,0.2,"TT",13.6658230166618
70,50,0.2,"TT",17.9981158926869
110,50,0.2,"TT",15.2152228734256
70,90,0.2,"TT",13.2605124180907
110,90,0.2,"TT",18.2372677561701
120,70,0.2,"TT",17.9177687980048
60,70,0.2,"TT",12.8186725524742
90,100,0.2,"TT",17.8042210470825
90,40,0.2,"TT",16.3578865623807
90,70,0.2,"TT",12.2392810178335
70,50,0.2,"TT",16.9745998412346
110,50,0.2,"TT",16.1795142987104
70,90,0.2,"TT",11.7130815768808
110,90,0.2,"TT",18.9026521979798
120,70,0.2,"TT",19.1051558709051
60,70,0.2,"TT",12.6037155300769
90,100,0.2,"TT",17.538879090474
90,40,0.2,"TT",17.4983295578131
90,70,0.2,"TT",10.5513825752342
70,50,0.2,"TT",15.9616996582144
110,50,0.2,"TT",15.5519048548317
70,90,0.2,"TT",12.372550189109
110,90,0.2,"TT",19.4952540888693
120,70,0.2,"TT",17.9981516802357
60,70,0.2,"TT",12.5716035168559
90,100,0.2,"TT",19.0496163753615
90,40,0.2,"TT",17.5632914548387
90,70,0.2,"TT",13.0593331211397
70,50,0.2,"TT",15.3793404122155
110,50,0.2,"TT",17.7603750883982
70,90,0.2,"TT",12.5383249582264
110,90,0.2,"TT",18.4117349678712
120,70,0.2,"TT",19.7091984572733
60,70,0.2,"TT",12.1984316256323
90,100,0.2,"TT",17.1903577391902
90,40,0.2,"TT",16.7740924041703
90,70,0.2,"TT",13.233397429287
70,50,0.2,"TT",16.9694712344531
110,50,0.2,"TT",17.0916941215264
70,90,0.2,"TT",11.8983759810529
110,90,0.2,"TT",19.2959584840876
120,70,0.2,"TT",19.3031966568799
60,70,0.2,"TT",11.3667377865323
90,100,0.2,"TT",16.8093440537857
90,40,0.2,"TT",16.5266360941688
90,70,0.2,"TT",13.3485480207445
70,50,0.2,"TT",15.8442445226313
110,50,0.2,"TT",16.4199927758889
70,90,0.2,"TT",11.2205223714255
110,90,0.2,"TT",18.3790495507268
120,70,0.2,"TT",16.5101488538271
60,70,0.2,"TT",11.9803946814871
90,100,0.2,"TT",17.5317834414448
90,40,0.2,"TT",17.2873343251311
90,70,0.2,"TT",12.1696575390601
70,50,0.2,"TT",16.8856108903997
110,50,0.2,"TT",16.9528269649139
70,90,0.2,"TT",13.387398979546
110,90,0.2,"TT",19.4318318185182
120,70,0.2,"TT",18.6521282010302
60,70,0.2,"TT",12.5297807564912
90,100,0.2,"TT",18.2890209377604
90,40,0.2,"TT",19.6168173219746
90,70,0.2,"TT",10.5686012078394
70,50,0.2,"TT",16.772171081699
110,50,0.2,"TT",14.5162337564455
70,90,0.2,"TT",12.4768773960773
110,90,0.2,"TT",19.1507112660687
120,70,0.2,"TT",18.7309301123085
60,70,0.2,"TT",12.251990042743
90,100,0.2,"TT",19.9839844311718
90,40,0.2,"TT",16.3152700263598
90,70,0.2,"TT",13.6575256262997
70,50,0.2,"TT",16.4814788619178
110,50,0.2,"TT",15.5559648103577
70,90,0.2,"TT",12.0794450953902
110,90,0.2,"TT",20.0509990634524
120,70,0.2,"TT",18.2712101052592
60,70,0.2,"TT",10.3947517678835
90,100,0.2,"TT",16.460273390845
90,40,0.2,"TT",16.4598183845408
90,70,0.2,"TT",12.1444447592846
70,50,0.2,"TT",16.0086807899794
110,50,0.2,"TT",14.4926140154236
70,90,0.2,"TT",12.241228955387
110,90,0.2,"TT",19.3021001216942
120,70,0.2,"TT",17.8329248205695
60,70,0.2,"TT",11.4047029024875
90,100,0.2,"TT",16.0593766844857
90,40,0.2,"TT",16.3535628528275
90,70,0.2,"TT",11.9272282292777
70,50,0.2,"TT",15.680109631267
110,50,0.2,"TT",16.5333358027261
70,90,0.2,"TT",13.9033627825692
110,90,0.2,"TT",18.6992174851232
120,70,0.2,"TT",18.0411210181993
60,70,0.2,"TT",13.8091294814951
90,100,0.2,"TT",18.3178202162885
90,40,0.2,"TT",17.5116317511957
90,70,0.2,"TT",13.5594568712152
70,50,0.2,"TT",17.2101697650857
110,50,0.2,"TT",16.3070125592099
70,90,0.2,"TT",10.9876649745791
110,90,0.2,"TT",18.2638581530407
120,70,0.2,"TT",18.2042485999436
60,70,0.2,"TT",11.2110624247433
90,100,0.2,"TT",17.72269925042
90,40,0.2,"TT",17.8272217263995
90,70,0.2,"TT",11.6040663934036
70,50,0.2,"TT",15.1260833143022
110,50,0.2,"TT",15.3155716136126
70,90,0.2,"TT",12.6648685051891
110,90,0.2,"TT",19.3369740053233
120,70,0.2,"TT",17.7194706878971
60,70,0.2,"TT",10.205847420881
90,100,0.2,"TT",18.4805443432748
90,40,0.2,"TT",17.0759759829762
90,70,0.2,"TT",11.6856386534553
70,50,0.2,"TT",16.1542218956071
110,50,0.2,"TT",18.5379295227682
70,90,0.2,"TT",11.9049260731255
110,90,0.2,"TT",18.0825204373874
120,70,0.2,"TT",17.7741236928297
60,70,0.2,"TT",10.9434295399743
90,100,0.2,"TT",16.5804685859932
90,40,0.2,"TT",17.2733606775169
90,70,0.2,"TT",13.4744612473382
70,50,0.2,"TT",15.5541807062134
110,50,0.2,"TT",16.8672083149556
70,90,0.2,"TT",12.4347672049668
110,90,0.2,"TT",19.368529070017
120,70,0.2,"TT",18.4937305324248
60,70,0.2,"TT",13.3356562664443
90,100,0.2,"TT",18.8277872609153
90,40,0.2,"TT",16.8846584479803
90,70,0.2,"TT",11.5434014420354
70,50,0.2,"TT",16.2154403826274
110,50,0.2,"TT",16.1572749147599
70,90,0.2,"TT",12.3341746673642
110,90,0.2,"TT",18.2457904460961
120,70,0.2,"TT",17.789557404226
60,70,0.2,"TT",13.8300987551338
90,100,0.2,"TT",18.8983567548175
90,40,0.2,"TT",17.7927544931224
90,70,0.2,"TT",12.3517032417294
70,50,0.2,"TT",17.0656322694485
110,50,0.2,"TT",15.9730875392782
70,90,0.2,"TT",12.2409611825817
110,90,0.2,"TT",18.8494522512162
120,70,0.2,"TT",18.2665534437738
60,70,0.2,"TT",12.3993097162052
90,100,0.2,"TT",17.2600751884222
90,40,0.2,"TT",16.2492067211418
90,70,0.2,"TT",13.5477386370233
70,50,0.2,"TT",15.8934890888211
110,50,0.2,"TT",16.8046024697701
70,90,0.2,"TT",12.0698369961633
110,90,0.2,"TT",19.1442123281159
120,70,0.2,"TT",17.3074229743704
60,70,0.2,"TT",12.2678955647347
90,100,0.2,"TT",16.4964206806924
90,40,0.2,"TT",17.6581956300934
90,70,0.2,"TT",12.6300603950665
70,50,0.2,"TT",17.9024609666882
110,50,0.2,"TT",17.679657219871
70,90,0.2,"TT",12.7834083718
110,90,0.2,"TT",20.2121286680961
120,70,0.2,"TT",18.5269162369518
60,70,0.2,"TT",12.4414177466824
90,100,0.2,"TT",15.9450150977994
90,40,0.2,"TT",17.2262143122839
90,70,0.2,"TT",13.6572852198412
70,50,0.2,"TT",15.5848230525502
110,50,0.2,"TT",16.0919349870457
70,90,0.2,"TT",12.431246040479
110,90,0.2,"TT",19.4761947377531
120,70,0.2,"TT",16.0670604650408
60,70,0.2,"TT",12.8585992619235
90,100,0.2,"TT",17.8621298444505
90,40,0.2,"TT",16.8761836480592
90,70,0.2,"TT",13.8304029311473
70,50,0.2,"TT",17.5299282789937
110,50,0.2,"TT",16.2335999839299
70,90,0.2,"TT",14.2839281386818
110,90,0.2,"TT",19.8226384017228
120,70,0.2,"TT",16.0237842974628
60,70,0.2,"TT",11.8483953289483
90,100,0.2,"TT",18.3726001479526
90,40,0.2,"TT",16.887621495614
90,70,0.2,"TT",13.63564645156
70,50,0.2,"TT",16.3335219339284
110,50,0.2,"TT",16.5975455075437
70,90,0.2,"TT",12.2230789126909
110,90,0.2,"TT",18.9647780929515
120,70,0.2,"TT",18.674875800079
60,70,0.2,"TT",13.4071019127802
90,100,0.2,"TT",18.1298842925822
90,40,0.2,"TT",17.4685481271998
90,70,0.2,"TT",12.9813439559855
70,50,0.2,"TT",15.6238138262253
110,50,0.2,"TT",16.1291507494452
70,90,0.2,"TT",11.9531472552681
110,90,0.2,"TT",19.1681440526538
120,70,0.2,"TT",19.5559343420561
60,70,0.2,"TT",12.4375807026044
90,100,0.2,"TT",18.4477592294222
90,40,0.2,"TT",17.4967142287168
90,70,0.2,"TT",12.2512134885974
70,50,0.2,"TT",16.8122983153343
110,50,0.2,"TT",16.7317854376967
70,90,0.2,"TT",12.5285997728802
110,90,0.2,"TT",18.9522800699568
120,70,0.2,"TT",19.7381452808431
60,70,0.2,"TT",10.5633038717967
90,100,0.2,"TT",17.4710594711861
90,40,0.2,"TT",15.2282229792064
90,70,0.2,"TT",12.6356657158263
70,50,0.2,"TT",17.1582737062737
110,50,0.2,"TT",16.4480468449623
70,90,0.2,"TT",10.7366005468044
110,90,0.2,"TT",19.7597646027845
120,70,0.2,"TT",18.8756497386587
60,70,0.2,"TT",13.5733380218416
90,100,0.2,"TT",20.1942843314072
90,40,0.2,"TT",17.7011983058844
90,70,0.2,"TT",11.7684236294725
70,50,0.2,"TT",16.1650092882924
110,50,0.2,"TT",17.3827595164806
70,90,0.2,"TT",10.6215239912077
110,90,0.2,"TT",19.209772254041
120,70,0.2,"TT",18.6641484290601
60,70,0.2,"TT",13.2493328034889
90,100,0.2,"TT",17.2915939616248
90,40,0.2,"TT",19.5971905544762
90,70,0.2,"TT",12.4029887845868
70,50,0.2,"TT",18.7164443068737
110,50,0.2,"TT",17.7043522013867
70,90,0.2,"TT",13.5497833308214
110,90,0.2,"TT",19.9363078822595
120,70,0.2,"TT",18.2997356181482
60,70,0.2,"TT",13.3156326091751
90,100,0.2,"TT",17.1385802378152
90,40,0.2,"TT",18.0872746099976
90,70,0.2,"TT",11.2222212098844
70,50,0.2,"TT",17.0296216337048
110,50,0.2,"TT",16.7510193969201
70,90,0.2,"TT",10.3358926966126
110,90,0.2,"TT",20.0837925634863
120,70,0.2,"TT",19.0819233390526
60,70,0.2,"TT",9.56633967055019
90,100,0.2,"TT",18.4792878726141
90,40,0.2,"TT",17.6284070972899
90,70,0.2,"TT",13.1991522792994
70,50,0.2,"TT",17.0965343674167
110,50,0.2,"TT",15.594821367695
70,90,0.2,"TT",13.5800277837937
110,90,0.2,"TT",18.4970713268219
120,70,0.2,"TT",16.3398817698532
60,70,0.2,"TT",10.3342755034312
90,100,0.2,"TT",19.3157335354691
90,40,0.2,"TT",16.9361439399524
90,70,0.2,"TT",14.188888646518
70,50,0.2,"TT",17.9308481713556
110,50,0.2,"TT",17.119250561227
70,90,0.2,"TT",12.7946263096006
110,90,0.2,"TT",20.4238395239366
120,70,0.2,"TT",17.0777450343621
60,70,0.2,"TT",10.9232986950775
90,100,0.2,"TT",16.7549548928734
90,40,0.2,"TT",15.3401547842117
90,70,0.2,"TT",12.4102292227548
70,50,0.2,"TT",16.4890476698972
110,50,0.2,"TT",16.8061550533504
70,90,0.2,"TT",12.1407911632413
110,90,0.2,"TT",17.836492035552
120,70,0.2,"TT",16.6614183076097
60,70,0.2,"TT",12.9620805129623
90,100,0.2,"TT",18.1140112499023
90,40,0.2,"TT",15.9698010096234
90,70,0.2,"TT",10.4547339033043
70,50,0.2,"TT",16.3798777553897
110,50,0.2,"TT",17.0137703754478
70,90,0.2,"TT",13.0321714456222
110,90,0.2,"TT",19.3803481896293
120,70,0.2,"TT",18.1071389132671
60,70,0.2,"TT",11.9475440519524
90,100,0.2,"TT",19.6745409976295
90,40,0.2,"TT",17.0053580949898
90,70,0.2,"TT",13.6685340727392
70,50,0.2,"TT",16.6445186325453
110,50,0.2,"TT",17.5698521539844
70,90,0.2,"TT",13.2588097020499
110,90,0.2,"TT",20.2547917346955
120,70,0.2,"TT",16.4907527331738
60,70,0.2,"TT",11.5933663796899
90,100,0.2,"TT",19.0984859334092
90,40,0.2,"TT",15.9734188514649
90,70,0.2,"TT",12.6978726736452
70,50,0.2,"TT",14.3035261804504
110,50,0.2,"TT",16.7501880095062
70,90,0.2,"TT",11.9459040022458
110,90,0.2,"TT",20.6435236262298
120,70,0.2,"TT",17.9517099833229
60,70,0.2,"TT",13.7944429096798
90,100,0.2,"TT",18.1841879879059
90,40,0.2,"TT",18.0993879448178
90,70,0.2,"TT",12.9902944062029
70,50,0.2,"TT",16.8928899650712
110,50,0.2,"TT",15.1118639737617
70,90,0.2,"TT",12.4350596295857
110,90,0.2,"TT",18.2191159738177
120,70,0.2,"TT",17.8699263839827
60,70,0.2,"TT",13.2845008208156
90,100,0.2,"TT",20.4801634659775
90,40,0.2,"TT",18.6742280869255
90,70,0.2,"TT",12.2127073267991
70,50,0.2,"TT",16.3847206939272
110,50,0.2,"TT",15.3840291545791
70,90,0.2,"TT",13.5652730550946
110,90,0.2,"TT",19.9704005870274
120,70,0.2,"TT",19.6228242364579
60,70,0.2,"TT",10.9000762729374
90,100,0.2,"TT",18.1101288750287
90,40,0.2,"TT",17.6904129266063
90,70,0.2,"TT",13.3494594127117
70,50,0.2,"TT",16.5886064862388
110,50,0.2,"TT",16.8255345388479
